key
amenity social_facility
surrey:addrid 
crop grape
crop 
is_in:province 
crossing:saltire 
genus 
metcouncil:dfz 
hoops 
lbcs:activity:name 
access forestry
maxwidth 
cuisine 
structure solid
direction clockwise
cycleway:right 
gnis:ftype 
capacity:parent 
cycling_width 
class:bicycle 
barrier guard_rail
garmin_type 
design two-level
amenity bank
building public
amenity ice_cream
amenity kindergarten
fence_type split_rail
not:name 
stars 
service parking_aisle
reg_name 
denomination 
detail 
railway:position 
building:usage:pl 
depth 
technology 
LandPro08:DE5 
natural scrub
mappingdc:gid 
recycling:glass 
import budovy201004drev
material wood
toll no
capacity:pupils 
design:ref 
destination:forward 
sidewalk:both:surface 
designation 
room 
service yard
structure_gauge 
fhrs:authority 
siruta:type 
change:lanes 
building:height 
destination:ref 
abandoned 
lbcs:function:name 
highway motorway_junction
bdouble 
highway services
railway:signal:shunting:height 
name:ca 
local_ref 1
diameter_crown 
lit no
shop cosmetics
diet:vegan 
flood_prone yes
is_in:left 
barrier cycle_barrier
disused:railway 
driveway 
highway milestone
construction yes
denomination protestant
school:FR 
light_rail 
mapper mspray15
metcouncil:site_at 
format 
ekatte 
metcouncil:corn_desc 
name:ja-Hira 
hgv destination
kerb lowered
name:bg 
median no
mapillary 
location:transition 
name:ga 
enforcement 
access private
bin 
toll 
outdoor_seating 
est_width 
trees 
amenity toilets
intermittent yes
evacuation_center 
ewmapa:funkcja 
oneway -1
llid 
ewmapa:kod_znakowy 
description Parken (allgemein)
exit_to 
from 
fdot:fihs 
FMMP_reviewed no
motorroad yes
order 
amenity bench
constituency Strategic Routes
fdot:sis 
landuse brownfield
fee 
shop furniture
noname 
buildingpart 
mml:ref 
railway:signal:speed_limit 
female 
name:fa 
map_type 
fence_type 
amenity place_of_worship
placement:forward 
fire_hydrant:city 
highway steps
disused:amenity 
aeroway apron
piste:grooming 
fhrs:local_authority_id 
cycleway crossing
map_size site
fid 
fire_hydrant:coupling_type 
tourism picnic_site
HFCS Principal Arterial - Other
admin_level 5
parking_space 
fire_hydrant:position 
fire_hydrant:type 
barrier kerb
denomination methodist
access permissive
species Robinia pseudoacacia
restriction 
highway:class:pl 
ewmapa:warstwa 
memorial statue
access 
admin_level 6
fire_hydrant:type:zh 
house 
substation 
sloped_curb 
flood_prone 
gauge 1676
highway 
railway:track_type 
fuel:cng 
psv 
fuel:octane_95 
full_id 
name:en1 
parking_space disabled
name:sv 
service spur
object:city 
lamp_ref 
generator:method 
amenity swimming_pool
shoulder yes
leisure marina
admin_level 
generator:type 
network:short 
import_ref 
tourism museum
diocese 
genus:de 
genus:en 
name:kk 
railway narrow_gauge
seamark:beacon_lateral:shape 
phases 
man_made chimney
is_in:commune 
height:range 
massgis:TOWN_ID 
massgis:ATT_DATE 
wikimedia_commons 
gid 
LandPro08:LU 
lamp_mount straight_mast
name:cy 
gnis:ST_alpha 
gnis:ST_num 
gnis:edited 
admin_level 11
line 
gnis:id 
covered yes
man_made survey_point
recycling:cardboard 
junction:ref 
religion hindu
gnis:reviewed 
taxi yes
massgis:WETCODE 
gns:ufi 
landuse military
damage:event 
golf_cart 
notas 
natural bare_rock
highway bus_stop
barrier swing_gate
bicycle 
natural glacier
at_bev:addr_date 
coa:place_id 
shop optician
FID 
species Gleditsia triacanthos
snowmobile 
traffic_signals:sound 
LandPro08:DE3 
network S
noref 
building:walls 
listed_status 
highways_england:area 
import 
house semi-detached
nycdoitt:bin 
camera:mount 
china_class zhen
material stone
name:genitive 
mtb:type 
handrail 
handrail:left 
handrail:right 
hazmat 
leisure slipway
healthcare 
esr:user 
expressway 
seamark:light:height 
ine:municipio 
design guyed_v-frame
shop jewelry
historic citywalls
postal_code 
name:cs 
rer_edi_id:ref 
railway:pzb 
bicycle private
heritage:website 
hgv 
tourism caravan_site
operational_status_quality 
amenity private_toilet
species:it 
button_operated no
is_in:county 
gns:dsg 
public_transport platform
lamp_ref_swd 
lamp_mount 
condition good
owner 
mountain_pass 
lamp_flames 1
highspeed 
hiking 
foot designated
historic 
fvst:navnelbnr 
historic:civilization 
highway traffic_signals
id 
indoor 
building commercial;residential
int_name 
subway yes
internet_access 
produce 
CLC:shapeId 
maxspeed:backward 
memorial 
tactile_paving 
is_in:region 
is_in:right 
nat_name 
lcn_ref 
damage:reconstruction 
name:fi 
KSJ2:forest_id 
snowmobile no
bmo:type 
surface compacted
condition deficient
crossing no
massgis:IT_VALDESC 
import_ref kapor_names
restriction only_left_turn
building slurry_tank
recycling:scrap_metal 
shop 
railway:local_operated 
kerb 
koatuu 
surface pebblestone
healthcare doctor
leisure pitch
idp:camp_site 
note:ja 
leaf_cycle semi_evergreen
ski 
length_unit 
network lwn
leisure sports_centre
lanes:backward 
intermittent 
lanes:both_ways 
layer 
surface grass_paver
level 
religion 
highway motorway_link
motorcar designated
massgis:FY_FUNDING 
man_made breakwater
levels 
taxi 
taxon 
taxon:cultivar 
highway turning_circle
taxon:species 
rednap:ficha 
barrier ditch
entrance unisex
ruins yes
gtfs_stop_code 
tents 
teryt:simc 
teryt:typ 
teryt:updated_by 
location overground
tidal 
is_in:iso_3166_2 
exit yes
hgv no
parking:condition:both 
route mtb
snowmobile designated
railway:signal:shunting 
admin_level 9
design flag
is_in:state_code 
design asymmetric
cycleway shared
amenity car_wash
genus Aesculus
demolished:building 
time 
toilet:num_chambers 
amenity waste_disposal
toilets 
OBJTYPE Myr
toilets:access 
toilets:disposal 
toilets:num_chambers 
toilets:number 
leisure fitness_centre
tower:construction 
motor_vehicle forestry
tower:type 
traces 
contact:vk 
tracks 
tracktype 
traffic 
sac_scale hiking
traffic_sign:2 
traffic_sign:3 
substation transmission
capacity 7
traffic_sign:forward 
wheelchair:description 
building manufacture
traffic_signals:direction 
horse designated
trail_visibility 
importance 
tram 
backup_generator no
triangulation_point 
trolley_wire 
departures_board 
trolleybus 
ts_calle 
TMC:cid_58:tabcd_1:NextLocationCode 
ts_desde 
ts_hacia 
capacity 20
shop funeral_directors
tunnel:name 
denotation urban
metcouncil:sun_trips 
landuse landfill
ref_name 
highway residential
is_in:state 
colour gray
lamp_type gaslight
shop seafood
uic_ref 
amenity police
seamark:notice:function 
gns_ufi 
height 
usage 
railway crossing
vehicle 
vending 
via 
